station,lat,lon,zone
West Hampstead Thameslink,51.54862912,-0.19253752,2
West Harrow,51.57892424,-0.353846697,5
West India Quay,51.50676266,-0.020582447,2
West Kensington,51.49010936,-0.206203695,2
West Norwood,51.43124112,-0.103189135,3
West Ruislip,51.56958787,-0.437860146,6
West Silvertown,51.50288443,0.022246047,3
West Sutton,51.36615014,-0.204644548,5
West Wickham,51.3812842,-0.01457633,5
Westbourne Park,51.52098884,-0.200882515,2
Westcombe Park,51.4845089,0.0177457,3
Westferry,51.50963815,-0.026323137,2
Westminster,51.50140159,-0.125002079,1
White City,51.51223244,-0.224631931,2
White Hart Lane,51.60503477,-0.070870327,3
Whitechapel,51.51958779,-0.059420485,2
Whitton,51.44958819,-0.357682061,5
Whyteleafe,51.30992932,-0.081135165,6
